id|gloss|text
P1_S01_R1|AKU CIUM BADAN DIA|Saya mencium bau badan dia
P2_S01_R1|AKU CIUM BADAN DIA|Saya mencium bau badan dia
P3_S01_R1|AKU CIUM BADAN DIA|Saya mencium bau badan dia
P4_S01_R1|AKU CIUM BADAN DIA|Saya mencium bau badan dia
P5_S01_R1|AKU CIUM BADAN DIA|Saya mencium bau badan dia
P1_S01_R2|AKU CIUM BADAN DIA|Saya mencium bau badan dia
P2_S01_R2|AKU CIUM BADAN DIA|Saya mencium bau badan dia
P3_S01_R2|AKU CIUM BADAN DIA|Saya mencium bau badan dia
P4_S01_R2|AKU CIUM BADAN DIA|Saya mencium bau badan dia
P5_S01_R2|AKU CIUM BADAN DIA|Saya mencium bau badan dia
P1_S01_R3|AKU CIUM BADAN DIA|Saya mencium bau badan dia
P2_S01_R3|AKU CIUM BADAN DIA|Saya mencium bau badan dia
P3_S01_R3|AKU CIUM BADAN DIA|Saya mencium bau badan dia
P4_S01_R3|AKU CIUM BADAN DIA|Saya mencium bau badan dia
P5_S01_R3|AKU CIUM BADAN DIA|Saya mencium bau badan dia
P1_S02_R1|AKU LIHAT ADA ULAR MASUK KELAS|Saya melihat ada ular masuk kelas
P2_S02_R1|AKU LIHAT ADA ULAR MASUK KELAS|Saya melihat ada ular masuk kelas
P3_S02_R1|AKU LIHAT ADA ULAR MASUK KELAS|Saya melihat ada ular masuk kelas
P4_S02_R1|AKU LIHAT ADA ULAR MASUK KELAS|Saya melihat ada ular masuk kelas
P5_S02_R1|AKU LIHAT ADA ULAR MASUK KELAS|Saya melihat ada ular masuk kelas
P1_S02_R2|AKU LIHAT ADA ULAR MASUK KELAS|Saya melihat ada ular masuk kelas
P2_S02_R2|AKU LIHAT ADA ULAR MASUK KELAS|Saya melihat ada ular masuk kelas
P3_S02_R2|AKU LIHAT ADA ULAR MASUK KELAS|Saya melihat ada ular masuk kelas
P4_S02_R2|AKU LIHAT ADA ULAR MASUK KELAS|Saya melihat ada ular masuk kelas
P5_S02_R2|AKU LIHAT ADA ULAR MASUK KELAS|Saya melihat ada ular masuk kelas
P1_S02_R3|AKU LIHAT ADA ULAR MASUK KELAS|Saya melihat ada ular masuk kelas
P2_S02_R3|AKU LIHAT ADA ULAR MASUK KELAS|Saya melihat ada ular masuk kelas
P3_S02_R3|AKU LIHAT ADA ULAR MASUK KELAS|Saya melihat ada ular masuk kelas
P4_S02_R3|AKU LIHAT ADA ULAR MASUK KELAS|Saya melihat ada ular masuk kelas
P5_S02_R3|AKU LIHAT ADA ULAR MASUK KELAS|Saya melihat ada ular masuk kelas
P1_S03_R1|AKU NILAI JELEK|Nilai ku jelek
P2_S03_R1|AKU NILAI JELEK|Nilai ku jelek
P3_S03_R1|AKU NILAI JELEK|Nilai ku jelek
P4_S03_R1|AKU NILAI JELEK|Nilai ku jelek
P5_S03_R1|AKU NILAI JELEK|Nilai ku jelek
P1_S03_R2|AKU NILAI JELEK|Nilai ku jelek
P2_S03_R2|AKU NILAI JELEK|Nilai ku jelek
P3_S03_R2|AKU NILAI JELEK|Nilai ku jelek
P4_S03_R2|AKU NILAI JELEK|Nilai ku jelek
P5_S03_R2|AKU NILAI JELEK|Nilai ku jelek
P1_S03_R3|AKU NILAI JELEK|Nilai ku jelek
P2_S03_R3|AKU NILAI JELEK|Nilai ku jelek
P3_S03_R3|AKU NILAI JELEK|Nilai ku jelek
P4_S03_R3|AKU NILAI JELEK|Nilai ku jelek
P5_S03_R3|AKU NILAI JELEK|Nilai ku jelek
P1_S04_R1|AKU PUSING AKU HARUS PERIKSA MANA|Saya sering pusing, saya harus periksa ke mana?
P2_S04_R1|AKU PUSING AKU HARUS PERIKSA MANA|Saya sering pusing, saya harus periksa ke mana?
P3_S04_R1|AKU PUSING AKU HARUS PERIKSA MANA|Saya sering pusing, saya harus periksa ke mana?
P4_S04_R1|AKU PUSING AKU HARUS PERIKSA MANA|Saya sering pusing, saya harus periksa ke mana?
P5_S04_R1|AKU PUSING AKU HARUS PERIKSA MANA|Saya sering pusing, saya harus periksa ke mana?
P1_S04_R2|AKU PUSING AKU HARUS PERIKSA MANA|Saya sering pusing, saya harus periksa ke mana?
P2_S04_R2|AKU PUSING AKU HARUS PERIKSA MANA|Saya sering pusing, saya harus periksa ke mana?
P3_S04_R2|AKU PUSING AKU HARUS PERIKSA MANA|Saya sering pusing, saya harus periksa ke mana?
P4_S04_R2|AKU PUSING AKU HARUS PERIKSA MANA|Saya sering pusing, saya harus periksa ke mana?
P5_S04_R2|AKU PUSING AKU HARUS PERIKSA MANA|Saya sering pusing, saya harus periksa ke mana?
P1_S04_R3|AKU PUSING AKU HARUS PERIKSA MANA|Saya sering pusing, saya harus periksa ke mana?
P2_S04_R3|AKU PUSING AKU HARUS PERIKSA MANA|Saya sering pusing, saya harus periksa ke mana?
P3_S04_R3|AKU PUSING AKU HARUS PERIKSA MANA|Saya sering pusing, saya harus periksa ke mana?
P4_S04_R3|AKU PUSING AKU HARUS PERIKSA MANA|Saya sering pusing, saya harus periksa ke mana?
P5_S04_R3|AKU PUSING AKU HARUS PERIKSA MANA|Saya sering pusing, saya harus periksa ke mana?
P1_S05_R1|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS|Apa kamu pernah membaca novel bahasa inggris?
P2_S05_R1|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS|Apa kamu pernah membaca novel bahasa inggris?
