id|gloss
P1_S01_R1|AKU CIUM BADAN DIA
P2_S01_R1|AKU CIUM BADAN DIA
P3_S01_R1|AKU CIUM BADAN DIA
P4_S01_R1|AKU CIUM BADAN DIA
P5_S01_R1|AKU CIUM BADAN DIA
P1_S01_R2|AKU CIUM BADAN DIA
P2_S01_R2|AKU CIUM BADAN DIA
P3_S01_R2|AKU CIUM BADAN DIA
P4_S01_R2|AKU CIUM BADAN DIA
P5_S01_R2|AKU CIUM BADAN DIA
P1_S01_R3|AKU CIUM BADAN DIA
P2_S01_R3|AKU CIUM BADAN DIA
P3_S01_R3|AKU CIUM BADAN DIA
P4_S01_R3|AKU CIUM BADAN DIA
P5_S01_R3|AKU CIUM BADAN DIA
P1_S01_R4|AKU CIUM BADAN DIA
P2_S01_R4|AKU CIUM BADAN DIA
P3_S01_R4|AKU CIUM BADAN DIA
P4_S01_R4|AKU CIUM BADAN DIA
P5_S01_R4|AKU CIUM BADAN DIA
P1_S02_R1|AKU LIHAT ADA ULAR MASUK KELAS
P2_S02_R1|AKU LIHAT ADA ULAR MASUK KELAS
P3_S02_R1|AKU LIHAT ADA ULAR MASUK KELAS
P4_S02_R1|AKU LIHAT ADA ULAR MASUK KELAS
P5_S02_R1|AKU LIHAT ADA ULAR MASUK KELAS
P1_S02_R2|AKU LIHAT ADA ULAR MASUK KELAS
P2_S02_R2|AKU LIHAT ADA ULAR MASUK KELAS
P3_S02_R2|AKU LIHAT ADA ULAR MASUK KELAS
P4_S02_R2|AKU LIHAT ADA ULAR MASUK KELAS
P5_S02_R2|AKU LIHAT ADA ULAR MASUK KELAS
P1_S02_R3|AKU LIHAT ADA ULAR MASUK KELAS
P2_S02_R3|AKU LIHAT ADA ULAR MASUK KELAS
P3_S02_R3|AKU LIHAT ADA ULAR MASUK KELAS
P4_S02_R3|AKU LIHAT ADA ULAR MASUK KELAS
P5_S02_R3|AKU LIHAT ADA ULAR MASUK KELAS
P1_S02_R4|AKU LIHAT ADA ULAR MASUK KELAS
P2_S02_R4|AKU LIHAT ADA ULAR MASUK KELAS
P3_S02_R4|AKU LIHAT ADA ULAR MASUK KELAS
P4_S02_R4|AKU LIHAT ADA ULAR MASUK KELAS
P5_S02_R4|AKU LIHAT ADA ULAR MASUK KELAS
P1_S03_R1|AKU NILAI JELEK
P2_S03_R1|AKU NILAI JELEK
P3_S03_R1|AKU NILAI JELEK
P4_S03_R1|AKU NILAI JELEK
P5_S03_R1|AKU NILAI JELEK
P1_S03_R2|AKU NILAI JELEK
P2_S03_R2|AKU NILAI JELEK
P3_S03_R2|AKU NILAI JELEK
P4_S03_R2|AKU NILAI JELEK
P5_S03_R2|AKU NILAI JELEK
P1_S03_R3|AKU NILAI JELEK
P2_S03_R3|AKU NILAI JELEK
P3_S03_R3|AKU NILAI JELEK
P4_S03_R3|AKU NILAI JELEK
P5_S03_R3|AKU NILAI JELEK
P1_S03_R4|AKU NILAI JELEK
P2_S03_R4|AKU NILAI JELEK
P3_S03_R4|AKU NILAI JELEK
P4_S03_R4|AKU NILAI JELEK
P5_S03_R4|AKU NILAI JELEK
P1_S04_R1|AKU PUSING AKU HARUS PERIKSA MANA
P2_S04_R1|AKU PUSING AKU HARUS PERIKSA MANA
P3_S04_R1|AKU PUSING AKU HARUS PERIKSA MANA
P4_S04_R1|AKU PUSING AKU HARUS PERIKSA MANA
P5_S04_R1|AKU PUSING AKU HARUS PERIKSA MANA
P1_S04_R2|AKU PUSING AKU HARUS PERIKSA MANA
P2_S04_R2|AKU PUSING AKU HARUS PERIKSA MANA
P3_S04_R2|AKU PUSING AKU HARUS PERIKSA MANA
P4_S04_R2|AKU PUSING AKU HARUS PERIKSA MANA
P5_S04_R2|AKU PUSING AKU HARUS PERIKSA MANA
P1_S04_R3|AKU PUSING AKU HARUS PERIKSA MANA
P2_S04_R3|AKU PUSING AKU HARUS PERIKSA MANA
P3_S04_R3|AKU PUSING AKU HARUS PERIKSA MANA
P4_S04_R3|AKU PUSING AKU HARUS PERIKSA MANA
P5_S04_R3|AKU PUSING AKU HARUS PERIKSA MANA
P1_S04_R4|AKU PUSING AKU HARUS PERIKSA MANA
P2_S04_R4|AKU PUSING AKU HARUS PERIKSA MANA
P3_S04_R4|AKU PUSING AKU HARUS PERIKSA MANA
P4_S04_R4|AKU PUSING AKU HARUS PERIKSA MANA
P5_S04_R4|AKU PUSING AKU HARUS PERIKSA MANA
P1_S05_R1|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS
P2_S05_R1|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS
P3_S05_R1|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS
P4_S05_R1|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS
P5_S05_R1|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS
P1_S05_R2|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS
P2_S05_R2|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS
P3_S05_R2|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS
P4_S05_R2|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS
P5_S05_R2|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS
P1_S05_R3|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS
P2_S05_R3|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS
P3_S05_R3|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS
P4_S05_R3|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS
P5_S05_R3|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS
P1_S05_R4|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS
P2_S05_R4|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS
P3_S05_R4|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS
P4_S05_R4|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS
P5_S05_R4|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS
P1_S06_R1|AYAH SAMA IBU MANA
P2_S06_R1|AYAH SAMA IBU MANA
P3_S06_R1|AYAH SAMA IBU MANA
P4_S06_R1|AYAH SAMA IBU MANA
P5_S06_R1|AYAH SAMA IBU MANA
P1_S06_R2|AYAH SAMA IBU MANA
P2_S06_R2|AYAH SAMA IBU MANA
P3_S06_R2|AYAH SAMA IBU MANA
P4_S06_R2|AYAH SAMA IBU MANA
P5_S06_R2|AYAH SAMA IBU MANA
P1_S06_R3|AYAH SAMA IBU MANA
P2_S06_R3|AYAH SAMA IBU MANA
P3_S06_R3|AYAH SAMA IBU MANA
P4_S06_R3|AYAH SAMA IBU MANA
P5_S06_R3|AYAH SAMA IBU MANA
P1_S06_R4|AYAH SAMA IBU MANA
P2_S06_R4|AYAH SAMA IBU MANA
P3_S06_R4|AYAH SAMA IBU MANA
P4_S06_R4|AYAH SAMA IBU MANA
P5_S06_R4|AYAH SAMA IBU MANA
P1_S07_R1|BADAN AKU GEMUK TAPI BADAN ADIK KURUS
P2_S07_R1|BADAN AKU GEMUK TAPI BADAN ADIK KURUS
P3_S07_R1|BADAN AKU GEMUK TAPI BADAN ADIK KURUS
P4_S07_R1|BADAN AKU GEMUK TAPI BADAN ADIK KURUS
P5_S07_R1|BADAN AKU GEMUK TAPI BADAN ADIK KURUS
P1_S07_R2|BADAN AKU GEMUK TAPI BADAN ADIK KURUS
P2_S07_R2|BADAN AKU GEMUK TAPI BADAN ADIK KURUS
P3_S07_R2|BADAN AKU GEMUK TAPI BADAN ADIK KURUS
P4_S07_R2|BADAN AKU GEMUK TAPI BADAN ADIK KURUS
P5_S07_R2|BADAN AKU GEMUK TAPI BADAN ADIK KURUS
P1_S07_R3|BADAN AKU GEMUK TAPI BADAN ADIK KURUS
P2_S07_R3|BADAN AKU GEMUK TAPI BADAN ADIK KURUS
P3_S07_R3|BADAN AKU GEMUK TAPI BADAN ADIK KURUS
P4_S07_R3|BADAN AKU GEMUK TAPI BADAN ADIK KURUS
P5_S07_R3|BADAN AKU GEMUK TAPI BADAN ADIK KURUS
P1_S07_R4|BADAN AKU GEMUK TAPI BADAN ADIK KURUS
P2_S07_R4|BADAN AKU GEMUK TAPI BADAN ADIK KURUS
P3_S07_R4|BADAN AKU GEMUK TAPI BADAN ADIK KURUS
P4_S07_R4|BADAN AKU GEMUK TAPI BADAN ADIK KURUS
P5_S07_R4|BADAN AKU GEMUK TAPI BADAN ADIK KURUS
P1_S08_R1|BUKU AKU SOBEK GEGARA DIA
P2_S08_R1|BUKU AKU SOBEK GEGARA DIA
P3_S08_R1|BUKU AKU SOBEK GEGARA DIA
P4_S08_R1|BUKU AKU SOBEK GEGARA DIA
P5_S08_R1|BUKU AKU SOBEK GEGARA DIA
P1_S08_R2|BUKU AKU SOBEK GEGARA DIA
P2_S08_R2|BUKU AKU SOBEK GEGARA DIA
P3_S08_R2|BUKU AKU SOBEK GEGARA DIA
P4_S08_R2|BUKU AKU SOBEK GEGARA DIA
P5_S08_R2|BUKU AKU SOBEK GEGARA DIA
P1_S08_R3|BUKU AKU SOBEK GEGARA DIA
P2_S08_R3|BUKU AKU SOBEK GEGARA DIA
P3_S08_R3|BUKU AKU SOBEK GEGARA DIA
P4_S08_R3|BUKU AKU SOBEK GEGARA DIA
P5_S08_R3|BUKU AKU SOBEK GEGARA DIA
P1_S08_R4|BUKU AKU SOBEK GEGARA DIA
P2_S08_R4|BUKU AKU SOBEK GEGARA DIA
P3_S08_R4|BUKU AKU SOBEK GEGARA DIA
P4_S08_R4|BUKU AKU SOBEK GEGARA DIA
P5_S08_R4|BUKU AKU SOBEK GEGARA DIA
P1_S09_R1|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA
P2_S09_R1|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA
P3_S09_R1|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA
P4_S09_R1|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA
P5_S09_R1|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA
P1_S09_R2|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA
P2_S09_R2|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA
P3_S09_R2|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA
P4_S09_R2|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA
P5_S09_R2|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA
P1_S09_R3|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA
